id|name|gender
311|Sharon Maguire|1
312|Alan Parker|2
313|Roberto Benigni|2
314|George Roy Hill|2
315|Sergei M. Eisenstein|2
316|Terence Young|2
319|Robert Altman|2
320|Volker Schlondorff|2
321|Chris Marker|0
322|Jan de Bont|2
323|William Wyler|2
324|Walter Salles|2
325|Lewis Gilbert|2
326|Peter R. Hunt|0
328|Park Chan-wook|2
329|Chris Columbus|2
330|Alfonso Cuaron|2
331|Mike Newell|2
332|David Yates|2
334|Jacques Tourneur|0
335|Tim Robbins|2
337|Robert Bresson|2
338|John Waters|2
339|Jay Roach|2
340|John Glen|2
342|Richard Lester|0
343|Joseph L. Mankiewicz|2
344|Martin Campbell|2
345|Jane Campion|1
346|Roger Spottiswoode|2
347|Lukas Moodysson|2
349|M. Night Shyamalan|2
350|Bernardo Bertolucci|2
351|Edgar Wright|2
353|James McTeigue|2
354|John Cassavetes|2
355|John Woo|2
356|Samuel Armstrong|2
358|Claude Zidi|2
359|Albert Hughes|2
360|Jonathan Dayton|2
364|Andrew Niccol|2
365|Richard Attenborough|2
366|Jan Sverak|0
368|Cameron Crowe|2
369|Doug Liman|2
371|John Carpenter|2
372|Rupert Wainwright|2
373|Brad Silberling|0
374|Roger Kumble|2
377|John Moore|2
378|Chris Miller|2
379|Douglas Trumbull|2
380|Ron Clements|2
381|Jim Abrahams|2
383|Stanley Kramer|2
384|Satyajit Ray|2
385|Hiroyuki Okiura|0
386|Willard Carroll|2
387|David Lean|2
388|Fred M. Wilcox|2
390|Vittorio De Sica|2
393|Niels Mueller|0
394|Wong Kar-wai|2
395|Rob Bowman|2
396|Matthew Robbins|2
397|Peter Yates|2
398|Bob Clark|2
400|Chuck Russell|2
401|Nora Ephron|0
402|John Badham|2
403|John Lasseter|2
404|Jon Turteltaub|2
405|Paul Michael Glaser|2
406|Marc Forster|2
407|Phillip Noyce|2
408|Gavin Hood|2
409|Franklin J. Schaffner|2
410|Stanley Donen|2
411|John Harrison|2
413|Marleen Gorris|0
415|Norman Jewison|2
416|Brian Levant|2
418|John Frankenheimer|2
419|Charlie Chaplin|2
420|Stuart Rosenberg|2
424|Martin Koolhoven|0
425|Vincente Minnelli|2
429|George A. Romero|2
430|Zack Snyder|2
431|Dean Parisot|2
432|Joe Dante|2
434|Nicolas Roeg|2
437|Jules Dassin|0
440|Carlos Saldanha|2
441|Eric Darnell|2
442|J.J. Abrams|2
443|Mel Brooks|2
446|John Sturges|2
448|Gaspar Noe|2
450|George Cukor|0
451|Don Siegel|2
452|James Bridges|2
453|Frank Borzage|2
454|Robert Rossen|2
457|Stefan Ruzowitzky|2
459|Jon Amiel|2
461|William Friedkin|0
462|Michelangelo Antonioni|2
463|Jim McBride|2
464|Mark Pellington|2
466|Niki Caro|1
467|Josef Rusnak|2
468|Carol Reed|2
469|Louis Malle|2
471|Ken Loach|2
472|Bill Condon|2
474|Fernando Leon de Aranoa|2
475|Nadia Tass|0
477|James Ivory|2
478|Sylvester Stallone|2
479|Robert De Niro|2
480|Peter Webber|2
481|Allen Coulter|2
482|Mark Steven Johnson|2
483|Todd Robinson|2
485|Bong Joon-ho|2
487|Michael Lehmann|2
488|Richard Eyre|2
489|none|1
492|Gabor Csupo|2
493|David Ayer|0
494|Stephen J. Anderson|2
495|Steve Bendelack|2
497|Kevin Munroe|2
498|Rolf Schubel|2
499|Mel Smith|2
500|Santiago Segura|2
502|Errol Morris|2
503|Mary Harron|1
504|Julie Taymor|1
505|Jules Bass|2
506|Julio Medem|2
507|John G. Avildsen|2
508|Ted Kotcheff|2
509|George P. Cosmatos|2
510|Peter MacDonald|2
511|Jeroen Krabbe|0
513|John Cameron Mitchell|2
514|Graeme Clifford|2
517|Todd Haynes|2
519|Zana Briski|0
521|Gabriele Muccino|2
522|Ralph Nelson|2
523|Erich von Stroheim|0
524|Ron Underwood|2
526|Renny Harlin|2
527|Michael Tolkin|2
528|Fenton Bailey|2
529|Guillermo del Toro|2
531|Tobi Baumann|0
535|Michael Moore|2
536|Jonathan Caouette|2
539|Andy Tennant|2
540|Todd Field|2
544|Chris Nahon|2
547|Nick Gomez|2
548|E. Elias Merhige|0
550|Mike Hodges|0
553|Neil Burger|2
554|Donald Petrie|2
555|Michael Pressman|2
556|Steve Barron|2
557|Stuart Gillard|2
558|Kevin Macdonald|2
559|Marcus Nispel|2
560|Lars Kraume|2
561|Laurent Cantet|2
562|Mike Judge|2
563|Sven Taddicken|2
564|Ol Parker|0
565|Mike Mills|2
566|Terry Zwigoff|0
567|Abdellatif Kechiche|2
568|Peter Hedges|2
569|Jacques Audiard|2
570|Cedric Klapisch|2
575|Juan Carlos Fresnadillo|2
578|Rob Marshall|2
579|Alexander Witt|2
580|Nancy Meyers|1
582|David Koepp|2
583|Peyton Reed|2
584|John Irvin|2
585|Agnieszka Holland|1
586|Gregory Hoblit|2
587|Shawn Levy|2
589|David O. Russell|2
594|Ronny Yu|0
595|Axel Sand|2
597|Brian Gibson|2
598|Christopher McQuarrie|0
599|Xavier Gens|2
600|Dominik Moll|0
601|Jon Avnet|2
602|Simon Wincer|0
603|Paul Haggis|2
604|Bronwen Hughes|1
605|Irwin Winkler|2
607|Richard LaGravenese|2
608|Roger Donaldson|2
609|Stephen Herek|2
610|Peter Hewitt|2
612|Robert Aldrich|2
614|Sebastian Schipper|0
615|Phil Joanou|2
618|Luc Jacquet|0
619|Georges Lautner|0
621|Tom Gries|2
622|Taylor Hackford|0
626|Ted Post|2
627|Don Taylor|2
628|J. Lee Thompson|0
629|Eli Roth|2
630|Michael Davis|2
631|Stuart Gordon|2
632|Rob Zombie|2
634|Simon West|2
635|Stephen Norrington|2
637|George Stevens|2
638|Steven Zaillian|2
641|John Madden|0
642|Martin Ritt|2
643|Louis Leterrier|2
644|Jon Favreau|2
645|Rob Minkoff|2
648|Rob Cohen|2
652|John Sayles|2
653|Heidi Ewing|0
655|Davis Guggenheim|2
656|Gilles Bourdos|0
658|Claude Chabrol|0
659|Herbert Ross|0
663|Gregg Araki|2
664|Jim Fall|2
666|Michael Winner|2
667|Anthony Russo|2
668|Peter Segal|2
669|Menahem Golan|2
670|John Schlesinger|2
671|Kevin Smith|2
672|Edward Dmytryk|0
673|Dick Richards|0
676|Niels Arden Oplev|2
679|Charles B. Pierce|2
680|Ondi Timoner|1
681|Julie Delpy|1
682|Paul Bogart|2
683|Bob Rafelson|2
684|Mark Robson|2
689|Nelson Shin|2
692|Richard Michaels|2
696|Sebastian Gutierrez|2
697|John Boorman|2
698|Bille August|2
701|John Milius|2
705|Randa Haines|1
706|Irvin Kershner|2
707|Richard Marquand|2
711|Paul Weitz|2
712|Alejandro Amenabar|2
715|Jeremy Leven|2
723|Pat O'Connor|2
725|Marc Webb|2
726|Sylvain White|2
728|Tod Williams|2
729|Michael Apted|2
730|Brian Taylor|2
731|Eric Bress|2
732|Beeban Kidron|1
733|Bruce Campbell|2
735|Andrew Davis|2
736|Robert Towne|2
737|Joachim Ronning|0
738|Takashi Shimizu|2
739|Toby Wilkins|0
740|Tim Story|2
742|Michael Anderson|2
746|Bertrand Tavernier|2
747|James Gray|2
749|George Miller|2
751|Cristian Mungiu|2
752|Naomi Kawase|1
753|Vincent Paronnaud|2
754|Carlos Reygadas|0
755|Lee Chang-dong|2
756|Rachid Bouchareb|2
757|Adam Shankman|2
758|Gary Sinyor|2
759|Tim Sullivan|2
760|Steven Brill|2
761|Claude Sautet|2
762|Florent-Emilio Siri|0
766|Antoine Fuqua|2
770|Alejandro Agresti|2
771|John Dahl|2
772|Russell Mulcahy|2
773|Alex Proyas|2
774|Tom McCarthy|0
775|Michael Cristofer|2
776|Griffin Dunne|0
777|Nicolas Winding Refn|2
778|Brad Bird|2
780|Jonathan Lynn|2
781|Sergio Martino|2
786|Andrzej Bartkowiak|2
787|Peter Medak|2
792|Dick Maas|2
793|John Rich|2
794|Richard Greenberg|2
797|George Sidney|2
798|Rod Lurie|2
800|Richard C. Sarafian|0
801|Herve Renoh|2
803|John Hughes|2
804|Brett Ratner|2
805|Gerard Krawczyk|2
806|Brian Helgeland|2
